Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
32,-0.3924262225627899,6.570900917053223,92.17536926269531,0.01215345949815829,-1.036223611917666,54.05445806257487,15.521184,5.490273,32.148922,-4.4763885,0.24854177,-3.7577815,-9.280339,-19.667953,-33.52341,35.14411,-5.04359,0.19102536,-4.4631124,0.5915828,7.4321504,6.2644534,12.401616,-34.703342,64.17608,2.1886942,5.028025,8.074908,11.445211,-15.055282,22.802752,58.054474,9.481917,2.0782464,-11.461596
33,0.3741101920604706,7.107670783996582,91.97683715820312,0.05476096501641052,-0.7201073502490393,52.720500169736205,16.355038,5.5901127,33.29667,-4.5738745,-0.41334057,-3.9612637,-10.635426,-19.229097,-34.309017,32.08237,-3.9561708,-0.15391551,-5.278542,0.89864486,8.292018,5.969804,12.489979,-35.10924,63.859173,1.197521,5.03137,8.178844,11.574591,-14.78334,23.242762,59.07622,10.141619,2.034977,-10.71059
34,1.311254858970642,7.716594696044922,91.69834899902344,0.11454936923887538,0.1998277300780231,51.402376090391776,16.678465,5.708119,34.454975,-4.6721516,-1.0764467,-4.3988957,-10.776478,-18.080805,-35.70207,26.39373,-2.647505,-0.23452112,-5.905771,1.3215886,8.813022,5.5429873,12.526604,-35.547432,63.58568,1.1209027,4.986834,7.959922,11.709957,-14.488471,23.939566,59.99323,10.936421,2.0459049,-9.883623
35,2.382946252822876,8.37125015258789,91.3974609375,0.44688442766164904,0.9996896052277434,50.195198948857794,17.16095,5.5277996,35.245167,-4.727081,-1.2857594,-4.748293,-10.304077,-16.979748,-36.684013,20.678522,-0.89203346,0.21129397,-6.2783027,1.6970162,9.154517,4.938612,12.529305,-35.696575,63.15316,1.2555906,4.8771324,7.945257,12.249963,-14.1376295,24.15163,60.38998,12.005289,1.9522259,-9.881307
36,3.54805326461792,9.064026832580566,91.16669464111328,0.5785743326744867,1.5720832250819607,49.25631757783353,17.808714,5.580334,35.217876,-4.714953,-1.2025105,-5.2642236,-9.501237,-15.616036,-37.481647,15.711552,0.637253,0.35473707,-6.691671,2.0434299,9.52264,4.551479,12.50179,-35.82477,62.776833,1.0340279,4.7567134,7.9164243,12.327662,-13.84506,24.571945,61.218517,12.413554,1.996986,-9.12195
37,4.782223701477051,9.79157543182373,90.94336700439453,0.4624616414677234,2.11705413661247,48.39616720204144,18.48055,6.0000224,35.28846,-4.463167,-1.1429306,-5.9650803,-8.38379,-14.5169735,-38.916046,12.640933,1.0958438,0.098769896,-6.875361,2.61725,9.780064,4.1290426,12.414134,-35.963398,62.44746,0.6141726,4.899911,8.183988,12.28053,-13.660142,25.227621,61.802963,12.961024,1.7072306,-9.268543
38,6.072721004486084,10.563831329345703,90.87195587158203,-0.051249624962636534,2.7428203889028584,47.52835788464915,18.881567,7.085915,35.790615,-3.2806587,-1.0844197,-6.4915624,-8.018681,-13.585244,-39.22414,12.480443,1.0136548,-0.49904495,-7.1251726,3.1895797,9.797029,3.8089979,12.380127,-36.16937,62.292004,-0.1772158,5.0191507,8.469448,12.172274,-13.611534,25.44889,62.31749,13.136261,1.8576112,-9.191723
39,7.419971466064453,11.37110710144043,90.88408660888672,-0.46578241770582784,2.8648313364246403,46.47934503220209,19.513327,8.104124,35.90752,-0.5841903,-1.0787218,-6.8162627,-7.950297,-13.1890545,-38.578243,14.5574,0.11823889,-0.98181915,-7.199205,3.8235133,9.715428,3.5838218,12.379635,-36.187065,62.29982,-2.018385,4.8558187,8.2924795,11.873425,-13.608545,25.802853,63.26405,12.38928,1.6164678,-8.751784
40,8.842292785644531,12.232736587524414,90.99034881591797,-0.8223157422949723,3.012372687178094,45.02679064168697,19.350603,9.219444,35.936207,3.7254658,-0.77485746,-6.681102,-7.4172444,-12.687801,-38.411514,15.841161,-0.8019919,-1.2627416,-6.9936776,4.162992,9.793055,3.1628482,12.41951,-36.08222,61.860683,-3.1839547,4.6696086,8.443527,11.523836,-13.73132,25.788841,63.62842,12.614196,1.3641222,-8.859458
41,10.354230880737305,13.135615348815918,91.04076385498047,-0.397438622601922,2.605070287813635,43.348227193294065,19.142578,9.498102,34.580357,6.680536,1.7218128,-6.021215,-6.314404,-12.94637,-37.591854,17.043167,-2.390456,-1.0052778,-6.20611,4.017824,10.115616,2.8605127,12.468575,-35.70881,61.326115,-4.3761196,4.0157905,8.794769,10.931553,-13.999993,25.826292,63.99013,11.941826,1.1668967,-9.192252
42,11.953737258911133,14.056208610534668,91.30240631103516,0.234432596879056,2.535579014508858,41.108937069686824,13.268366,13.363984,32.559338,22.411427,1.0210414,-3.8491225,-4.6506677,-12.590494,-36.712616,15.626294,-2.7782078,-0.55083764,-5.454492,4.0774765,10.759043,2.3388228,12.566891,-34.99667,60.326065,-4.3521953,3.7854884,8.905893,9.960728,-14.461059,25.487505,63.77144,11.163738,1.0650284,-9.847994
43,13.62785816192627,14.996692657470703,91.56269836425781,0.7990293598250987,2.3737282376955617,39.16865713889561,7.0227027,16.40329,29.062067,35.800163,1.1175529,-2.0342548,-2.2776144,-12.077103,-36.41766,13.265073,-2.6575968,0.019281114,-4.456987,4.4691877,11.233594,1.8473332,12.660748,-34.35013,59.192383,-4.9948397,3.2461274,9.635163,8.772372,-15.113053,25.487679,63.159225,10.536413,1.1950469,-10.467745
44,15.380002975463867,15.984429359436035,91.71748352050781,1.2020712221901633,1.7511284877091557,37.376920757582205,-0.39574382,17.144033,23.242985,48.126736,1.3127356,-1.9533316,0.39685392,-11.622886,-35.683456,11.569881,-2.6767068,0.33945626,-3.0840037,4.9993386,11.93436,1.6552114,12.736485,-33.35816,57.372288,-5.390139,3.0742307,10.178031,7.6796875,-15.875804,25.509253,62.356277,9.88967,1.0454084,-11.017531
45,17.239757537841797,17.042505264282227,91.77811431884766,1.54313840943421,1.582513822642699,36.025091063666856,-7.035151,17.237625,19.87731,55.73047,0.5440254,-2.106882,2.7641265,-11.212173,-35.010006,9.875245,-2.4488065,1.3432027,-1.7138244,5.112487,12.678214,1.5763403,12.828563,-32.423943,55.911945,-5.3313427,3.4211688,10.552338,5.9781027,-16.748842,25.628218,61.536613,9.934871,1.1636721,-11.780679
46,19.227500915527344,18.17861557006836,91.87751007080078,2.3435415309733134,2.020326950925094,35.23081123992585,-13.200379,16.3627,18.062952,58.276905,-0.51571184,-2.7657595,4.855308,-11.3410425,-34.640945,7.823832,-2.1363332,2.614071,-0.34140208,4.9783616,13.55803,1.2900746,12.949626,-31.558308,54.848263,-5.302197,3.8641071,10.494556,4.0037937,-17.78613,25.752733,60.28535,10.273836,1.3301685,-12.067119
47,21.34543800354004,19.406328201293945,91.82176208496094,3.291893431349256,2.4007247773405442,34.90269409767593,-18.343712,14.804379,17.212132,55.76829,-1.8902026,-3.0110204,6.8139815,-11.995213,-34.37152,6.925207,-3.187128,3.9243042,0.94599974,4.750696,14.507287,1.3586189,13.098062,-30.336899,53.758915,-5.1224804,4.763706,9.964761,1.8933342,-18.993822,25.662416,58.728813,11.358516,1.635297,-12.500224
48,23.599231719970703,20.753080368041992,91.64874267578125,3.8169433074894044,2.7614604009349,34.50529503910216,-21.123741,13.005661,17.536852,47.05238,-1.7168971,-4.2825794,8.658719,-12.526567,-34.54172,6.9274783,-4.146958,5.2303805,1.8509238,4.62971,15.559692,1.4890803,13.249404,-29.006578,52.660454,-5.389612,4.8171406,9.999735,-0.22258887,-20.284658,25.63297,57.40709,11.242864,1.8858796,-12.338874
