Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
32,5.235519886016846,-3.7229511737823486,90.70596313476562,-3.661112788453492,-3.650446855205529,20.2696845672951,-27.85915,12.86771,-7.9462013,67.06273,-13.3266325,-8.347077,20.139578,3.3440151,-27.837784,1.9246795,-12.5135355,2.9568949,0.5454055,8.939479,10.734894,3.9757168,11.792107,-26.277142,65.06044,-11.154434,3.040876,9.65679,6.0434437,-15.496442,30.385485,67.363045,3.8003056,4.389369,-9.517229
33,6.0300750732421875,-3.9775495529174805,90.74113464355469,-3.1072006885969023,-4.009117480808624,19.665154616613428,-31.450697,12.774864,-7.5014205,70.29356,-13.327793,-7.500518,20.923285,3.1503744,-26.954039,1.9746387,-12.69041,3.1319492,0.7669235,9.057127,11.641554,4.130414,11.821844,-26.130848,63.303604,-10.549396,3.2932684,9.574711,5.0179267,-15.7394905,30.57908,67.69884,3.7463431,4.3327875,-9.43928
34,7.088843822479248,-4.1718854904174805,90.78013610839844,-2.0773537171146295,-3.8738780628175498,19.538156226380863,-34.919746,11.198018,-7.838276,71.55526,-13.988134,-7.230408,21.415659,2.5594342,-26.016867,2.0622723,-12.912805,3.3723342,1.2111664,9.054683,12.594817,4.2060943,11.675732,-25.722336,61.970207,-11.172443,3.1391146,9.767046,4.020029,-16.146372,30.90126,67.816696,3.229615,4.243364,-9.329021
35,8.40731143951416,-4.264734745025635,90.84519958496094,-1.3784994383027307,-3.5389630351186976,19.37920712207978,-37.843903,9.560198,-7.4061966,70.85988,-13.159347,-7.405996,21.950964,2.3218448,-25.103594,2.0397675,-12.134469,4.0460258,1.6732608,8.936264,13.336852,4.465962,11.503952,-25.494717,60.896523,-11.038693,3.0705929,9.483631,3.0166514,-16.6926,30.912983,67.45243,3.3478882,4.0104966,-9.069878
36,9.990769386291504,-4.2447710037231445,90.74378204345703,-0.38535135386362795,-2.5470259895699843,18.876290438020742,-40.04224,8.419617,-5.34119,68.11918,-12.676873,-7.340994,22.19141,1.5518473,-25.010519,1.9799241,-11.947115,4.7014885,2.1914566,8.721378,13.855068,4.819001,11.361935,-25.359402,60.01687,-9.980526,2.668107,9.106356,1.9611402,-17.376827,30.274897,66.62563,3.6432128,3.591454,-8.55872
37,11.792407989501953,-4.094130516052246,90.64979553222656,0.571029325521838,-2.114358501994059,18.827543183379223,-41.737175,7.0006466,-4.011846,62.522667,-10.952132,-7.8365846,23.200651,0.938021,-24.447805,1.884302,-11.553217,5.5802264,2.6356168,8.397551,14.809153,5.191152,11.198069,-25.178944,59.451008,-9.827104,2.2917697,9.055604,0.8415494,-18.136902,29.625494,65.116264,3.8389242,3.8480117,-8.678477
38,13.793574333190918,-3.7979438304901123,90.34648895263672,1.120641529200005,-1.1445373792305304,18.91051751093451,-42.457584,5.72017,-2.7386081,55.13044,-8.743072,-8.350223,23.903288,0.7267986,-24.11889,1.7804437,-11.111519,6.1985893,3.0215135,8.241795,15.314252,5.66545,11.088088,-25.095564,59.26885,-8.566406,2.126186,8.715443,-0.2909931,-19.010687,28.74947,63.668945,3.4422727,3.6397345,-8.727529
39,15.952677726745605,-3.3701467514038086,89.94342041015625,1.8375268460921452,-0.494005414785682,18.896360416091504,-41.99228,4.615123,-2.378257,45.637833,-6.626668,-8.875036,24.997902,0.3280814,-23.001125,1.7788503,-11.248249,6.518477,3.2088008,8.1129055,15.935185,6.206616,10.999328,-24.997866,58.96095,-8.038624,2.3771176,8.327695,-1.764115,-19.949228,28.33501,62.35866,3.7043614,3.592428,-8.41189
40,18.244504928588867,-2.802457094192505,89.26956939697266,1.99970061510363,0.525684321400903,18.66370788576947,-41.268616,3.864353,-1.602538,37.631477,-5.0656447,-9.226372,25.914345,0.40791932,-21.50618,1.6912526,-11.412546,6.7368674,3.4475288,8.027302,16.200993,6.9372826,10.887806,-25.008812,59.000477,-7.3240232,2.5211573,8.146483,-2.9756188,-20.834137,28.207594,61.21831,3.07085,3.2780542,-7.9860225
41,20.65995979309082,-2.1174495220184326,88.51887512207031,2.1474795140241376,1.3770504885388783,18.577505870671136,-40.07663,3.110062,-1.3386678,31.348257,-4.2291093,-9.28622,27.24989,0.27675456,-20.414852,1.6987689,-11.421584,6.8337607,3.7074316,7.890926,16.484665,7.580736,10.6961565,-25.134378,59.251957,-7.109313,2.8206756,8.331523,-3.8724284,-21.627731,27.944262,59.843513,2.9305978,2.852229,-8.21342
